nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Uruguay,3490000,176215,America
Chile,19678363,756102,America
Alemania,83149300,357022,Europa
Francia,68000000,551695,Europa
España,47350000,505990,Europa
Italia,59000000,301340,Europa
China,1412600000,9596961,Asia
India,1428600000,3287263,Asia
Japon,125800000,377975,Asia
Corea del Sur,51740000,100210,Asia
Australia,26000000,7692024,Oceania
Nueva Zelanda,5120000,268021,Oceania
Egipto,111000000,1002450,Africa
Sudafrica,60400000,1221037,Africa
